National Park,State,Type,default_color
Theodore Roosevelt Island,District of Columbia,Site,#66CCFF
Theodore Roosevelt National Park,North Dakota,National Park,#FF9933
Thomas Edison National Historical Park,New Jersey,National Historical Park,#003366
Thomas Stone National Historic Site,Maryland,National Historic Site,#0066CC
Timpanogos Cave National Monument,Utah,National Monument,#996633
Timucuan Ecological and Historic Preserve,Florida,Site,#339966
Tonto National Monument,Arizona,National Monument,#009999
Tule Lake National Monument,California,National Monument,#CC3333
Tule Springs Fossil Beds National Monument,Nevada,National Monument,#CC3333
Tumacacori National Historical Park,Arizona,National Historical Park,#009999
Tupelo National Battlefield,Mississippi,National Battlefield,#339966
Tuskegee Airmen National Historic Site,Alabama,National Historic Site,#339966
Tuskegee Institute National Historic Site,Alabama,National Historic Site,#339966
Tuzigoot National Monument,Arizona,National Monument,#009999
Ulysses S. Grant National Historic Site,Missouri,National Historic Site,#FF9933
Upper Delaware Scenic and Recreational River,Pennsylvania,Site,#0066CC
Valles Caldera National Preserve,New Mexico,National Preserve,#009999
Valley Forge National Historical Park,Pennsylvania,National Historical Park,#0066CC
Vanderbilt Mansion National Historic Site,New York,National Historic Site,#003366
Vicksburg National Military Park,Mississippi,National Military Park,#339966
Vietnam Veterans Memorial,District of Columbia,Site,#66CCFF
Virgin Islands Coral Reef National Monument,Virgin Islands,National Monument,#000000
Virgin Islands National Park,Virgin Islands,National Park,#000000
Voyageurs National Park,Minnesota,National Park,#FF9933
Waco Mammoth National Monument,Texas,National Monument,#009999
Walnut Canyon National Monument,Arizona,National Monument,#009999
War in the Pacific National Historical Park,Guam,National Historical Park,#000000
Washington Monument,District of Columbia,Site,#66CCFF
Washita Battlefield National Historic Site,Oklahoma,National Historic Site,#009999
Weir Farm National Historical Park,Connecticut,National Historical Park,#003366
Whiskeytown-Shasta-Trinity National Recreation Area,California,National Recreation Area,#CC3333
White House and Presidents Park,District of Columbia,Site,#66CCFF
White Sands National Park,New Mexico,National Park,#009999
Whitman Mission National Historic Site,Washington,National Historic Site,#9966CC
William Howard Taft National Historic Site,Ohio,National Historic Site,#FF9933
Wilsons Creek National Battlefield,Missouri,National Battlefield,#FF9933
Wind Cave National Park,South Dakota,National Park,#FF9933
Wolf Trap National Park for the Performing Arts,Virginia,National Park,#0066CC
Womens Rights National Historical Park,New York,National Historical Park,#003366
World War I Memorial,District of Columbia,Site,#66CCFF
World War II Memorial,District of Columbia,Site,#66CCFF
Wrangell-St. Elias National Park,Alaska,National Park,#9966CC
Wrangell-St. Elias National Preserve,Alaska,National Preserve,#9966CC
Wright Brothers National Memorial,North Carolina,National Memorial,#339966
Wupatki National Monument,Arizona,National Monument,#009999
Yellowstone National Park,Wyoming,National Park,#996633
Yosemite National Park,California,National Park,#CC3333
Yucca House National Monument,Colorado,National Monument,#996633
Yukon-Charley Rivers National Preserve,Alaska,National Preserve,#9966CC
Zion National Park,Utah,National Park,#996633
